Exercise_Name,Instructions,muscle_gp,Equipment,Description,Rating,Images_URL
Seated rear delt fly,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-47e-seated-rear-delt-fly-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-47e-seated-rear-delt-fly-m2-16x9.jpg']"
Standing face pull,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Cable,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-40c-standing-face-pull-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-40c-standing-face-pull-m2-16x9.jpg']"
Glute Ham Raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Machine,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-25m-glute-ham-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-25m-glute-ham-raise-m2-16x9.jpg']"
Russian twist,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-262a-russian-twist-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-262a-russian-twist-m2.jpg']"
Seated Flat Bench Leg Pull-In,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Weight Bench,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/93/Male/l/93_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/93/Male/l/93_2.jpg']"
Barbell shrug,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Traps,Barbell,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-04b-barbell-shrug-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-04b-barbell-shrug-m2-16x9.jpg']"
Standing cable rear delt row,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Cable,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51c-standing-cable-rear-delt-row-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51c-standing-cable-rear-delt-row-m2-16x9.jpg']"
Flat Bench Lying Leg Raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-63a-lying-leg-lift-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-63a-lying-leg-lift-m2-16x9.jpg']"
Hack Squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/2020-xdb-36m-hack-squat-machine-squat-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2020-xdb-36m-hack-squat-machine-squat-m2.jpg']"
Dumbbell skullcrusher,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Dumbbell,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-57e-dumbbell-skullcrusher-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-57e-dumbbell-skullcrusher-m2-16x9.jpg']"
Man-maker,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Dumbbell,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-89d-man-maker-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-89d-man-maker-m6-16x9.jpg']"
Pallof press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Other,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-54c-pallof-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-54c-pallof-press-m2-16x9.jpg']"
Knees tucked crunch,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-177a-knees-tucked-crunch-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-177a-knees-tucked-crunch-m2-16x9.jpg']"
Straight-arm dumbbell pull-over,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Dumbbell,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-26e-straight-arm-dumbbell-pull-over-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-26e-straight-arm-dumbbell-pull-over-m2-16x9.jpg']"
Arms-crossed jump squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Body Only,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-43a-arms-crossed-jump-squat-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-43a-arms-crossed-jump-squat-m3-16x9.jpg']"
Decline Smith Press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Machine,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-37t-smith-machine-decline-bench-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-37t-smith-machine-decline-bench-press-m2-16x9.jpg']"
Band Skull Crusher,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Bands,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/1211/Male/l/1211_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/1211/Male/l/1211_2.jpg']"
Side Wrist Pull,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Body Only,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/442/Male/l/442_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/442/Male/l/442_2.jpg']"
Isometric Wipers,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Body Only,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-122a-typewriter-push-up-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-122a-typewriter-push-up-m3-16x9.jpg']"
Skating,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Other,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/654/Male/l/654_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/654/Male/l/654_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/654/Male/l/654_3.jpg']"
Cable cross-over,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Cable,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1c-cable-cross-over-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1c-cable-cross-over-m2-16x9.jpg']"
Treadmill running,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Machine,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-81m-treadmill-running-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-81m-treadmill-running-m2-16x9.jpg']"
One Arm Pronated Dumbbell Triceps Extension,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Dumbbell,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/361/Male/l/361_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/361/Male/l/361_2.jpg']"
Single-arm kettlebell clean and jerk,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Kettlebells,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-68k-single-arm-kettlebell-clean-and-jerk-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-68k-single-arm-kettlebell-clean-and-jerk-m3-16x9.jpg']"
Side To Side Chins,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Body Only,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/280/Male/l/280_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/280/Male/l/280_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/280/Male/l/280_3.jpg']"
Incline Dumbbell Bench With Palms Facing In,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Dumbbell,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/37/Male/l/37_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/37/Male/l/37_2.jpg']"
Seated palms-down wrist curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Dumbbell,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-64e-seated-palms-down-wrist-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-64e-seated-palms-down-wrist-curl-m2-16x9.jpg']"
Standing leg swing,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Body Only,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-83s-standing-leg-swing-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-83s-standing-leg-swing-m2-16x9.jpg']"
Clock push-up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Body Only,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-103a-clock-push-up-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-103a-clock-push-up-m6-16x9.jpg']"
Machine seated row,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Machine,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-91m-machine-seated-row-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-91m-machine-seated-row-m2-16x9.jpg']"
Lying Face Up Plate Neck Resistance,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Neck,Other,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/26/Male/l/26_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/26/Male/l/26_2.jpg']"
Weighted sissy squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Other,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-180s-weighted-sissy-squat-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-180s-weighted-sissy-squat-m2.jpg']"
Jog In Place,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Body Only,Average,8.4,"['https://www.bodybuilding.com/images/2020/xdb/2963_1l.jpg', 'https://www.bodybuilding.com/images/2020/xdb/2963_2l.jpg']"
Dumbbell Raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/327/Male/l/327_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/327/Male/l/327_2.jpg']"
Palms-Down Dumbbell Wrist Curl Over A Bench,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Dumbbell,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/4/Male/l/4_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/4/Male/l/4_2.jpg']"
One Arm Supinated Dumbbell Triceps Extension,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Dumbbell,Average,8.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/362/Male/l/362_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/362/Male/l/362_2.jpg']"
Stationary bike,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Machine,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-52m-stationary-bike-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-52m-stationary-bike-m1-16x9.jpg']"
Dumbbell bent-over row,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Dumbbell,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-58d-dumbbell-bent-over-row-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-58d-dumbbell-bent-over-row-m2-16x9.jpg']"
Barbell thruster,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-16b-barbell-thruster-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-16b-barbell-thruster-m3-16x9.jpg']"
Flutter Kicks,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Glutes,Weight Bench,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/267/Male/l/267_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/267/Male/l/267_2.jpg']"
Dumbbell sumo squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Dumbbell,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-91d-dumbbell-sumo-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-91d-dumbbell-sumo-squat-m2-16x9.jpg']"
Barbell upright row,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Barbell,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-13b-barbell-upright-row-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-13b-barbell-upright-row-m2-16x9.jpg']"
Superman,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lower Back,Body Only,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-56a-superman-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-56a-superman-m2-16x9.jpg']"
Straight-Arm Pulldown,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Cable,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-104c-straight-arm-bar-pull-down-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-104c-straight-arm-bar-pull-down-m2.jpg']"
Barbell stiff-legged deadlift,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Barbell,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-06b-barbell-stiff-legged-deadlift-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-06b-barbell-stiff-legged-deadlift-m2-16x9.jpg']"
Standing One-Arm Dumbbell Triceps Extension,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Dumbbells,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/350/Male/l/350_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/350/Male/l/350_2.jpg']"
Smith machine bench press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Machine,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1t-smith-machine-bench-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1t-smith-machine-bench-press-m2-16x9.jpg']"
Seated Side Lateral Raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-52e-seated-dumbbell-lateral-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-52e-seated-dumbbell-lateral-raise-m2-16x9.jpg']"
Dumbbell Lying Rear Lateral Raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-13n-incline-dumbbell-reverse-fly-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-13n-incline-dumbbell-reverse-fly-m2-16x9.jpg']"
Dumbbell preacher curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Dumbbell,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51s-dumbbell-preacher-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51s-dumbbell-preacher-curl-m2-16x9.jpg']"
